Q #	overal_risk	gain	pass_advantages	goal_change	effectiveness_score
Q01a	86.56192064176847	7	0.29719580449776645	49.51738117242242	56.814576976920186
Q01b	6.9305154788026595	3	1.0	50.70086931596903	54.70086931596903
Q01c	10.130057366149183	3	1.0	31.88362023079619	35.88362023079619
Q02a	11.352490421455919	4	0.6	77.45846243368199	82.05846243368198
Q02b	0.0	-3	1.4	14.314042116279786	12.714042116279787
Q02c	17.810198847564976	1	0.7525442082579838	125.98457506321284	127.73711927147083
Q03a	2.0708908509393007	2	1.5	2.855327028062083	6.355327028062083
Q03b	17.132099928551426	6	1.1	219.02590912084779	226.12590912084778
Q03c	3.6339115246429343	0	1.182946168874774	15.549061326890378	16.732007495765153
Q04a	0.0	-2	1.2	8.707016963797189	7.907016963797189
Q04b	0.0	-2	1.0	2.871722700861735	1.871722700861735
Q04c	0.0	-2	1.1	1.0876182095434297	0.18761820954342978
Q05a	0.0	1	0.8	82.83564000252939	84.63564000252939
Q05b	0.0	2	0.8	124.17098913949296	126.97098913949296
Q05c	156.20537225505572	3	0.2821207376263571	64.08172619452694	67.3638469321533
Q06a	3.4963059451901857	5	1.1	26.094118787690643	32.19411878769064
Q06a	0.0	1	0.9	73.44443399827938	75.34443399827938
Q06b	0.0	0	1.6	5.336018152342189	6.936018152342189
Q06b	0.0	6	0.4	73.44443399827938	79.84443399827938
Q06c	8.158721236742398	5	1.1	55.77014496024093	61.87014496024093
Q06c	0.0	1	0.9	73.44443399827938	75.34443399827938
Q07a	19.7766112591265	7	0.9752683368749762	22.70597669188292	30.681245028757896
Q07b	1736.0636539025388	-3	1.5	5.105426855740938	-36.05426855740938
Q07c	3426.8580847942103	-3	1.5	19.295820581844442	-177.9582058184444
Q08a	3.234984568823001	3	0.7	92.64976208124479	96.34976208124479
Q08b	0.0	2	0.8	9.693357170977572	12.493357170977571
Q08c	6.936919363945943	2	0.8	26.747443634215124	29.547443634215124
Q09a	7.619378291132976	1	0.8158238562615446	66.2975428616308	68.11336671789235
Q09b	0.0	1	1.3	35.26125173031957	37.56125173031957
Q09c	0.41659724325961317	2	0.9	39.43893121760797	42.33893121760797
Q10a	6.620778004285446	1	0.8	54.682414167273805	56.4824141672738
Q10b	7.930076738927889	1	1.0	1.6530090622540037	3.6530090622540037
Q10c	0.0	1	1.0	4.840494171433248	6.840494171433248
