Q #	overal_risk	gain	pass_advantages	goal_chance	effectiveness_score
Q01a	86.56192064176847	7	0.29719580449776645	90.3086846544513	97.60588045894906
Q01b	6.9305154788026595	3	1.0	102.28506530843102	106.28506530843102
Q01c	7.979194321113714	3	1.0	31.88362023079619	35.88362023079619
Q02a	11.352490421455919	4	0.6	77.45846243368199	82.05846243368198
Q02b	0.0	-3	1.4	20.47944826415953	18.879448264159528
Q02c	17.810198847564976	1	0.7525442082579838	125.98457506321284	127.73711927147083
Q03a	0.0	2	1.5	2.855327028062083	6.355327028062083
Q03b	16.688552806773288	6	1.1	219.02590912084779	226.12590912084778
Q03c	3.6339115246429343	0	1.182946168874774	15.549061326890378	16.732007495765153
Q04a	0.0	-2	1.2	8.707016963797189	7.907016963797189
Q04b	0.0	-2	1.0	3.1020858642488998	2.1020858642488998
Q04c	0.0	-2	1.1	1.1187864842925128	0.2187864842925129
Q05a	0.0	1	0.8	82.83564000252939	84.63564000252939
Q05b	0.0	2	0.8	124.17098913949296	126.97098913949296
Q05c	156.20537225505572	3	0.2821207376263571	64.08172619452694	67.3638469321533
Q07a	908.3226299063565	-1	1.3	2.3746041588053157	-26.74604158805316
Q07b	1736.0636539025388	-3	1.5	73.31378299120233	-718.1378299120233
Q07c	3426.6955203473854	-3	1.5	22.49018277892292	-209.90182778922923
Q08a	3.234984568823001	3	0.7	92.64976208124479	96.34976208124479
Q08b	0.0	2	0.8	9.693357170977572	12.493357170977571
Q08c	6.936919363945943	2	0.8	26.747443634215124	29.547443634215124
Q09a	21.99009413733865	1	1.0	65.69286175351353	67.69286175351353
Q09b	0.0	1	1.3	35.26125173031957	37.56125173031957
Q09c	0.41659724325961317	2	0.9	57.49565599443844	60.395655994438435
Q10a	6.620778004285446	1	0.8	64.27785890762316	66.07785890762315
Q10b	7.930076738927889	1	1.0	1.6530090622540037	3.6530090622540037
Q10c	0.0	1	1.0	5.042922472653597	7.042922472653597
Q06a	3.4963059451901857	6	2.0	103.78782088170928	111.78782088170928
Q06b	0.0	6	2.0	83.02972024636082	91.02972024636082
Q06c	8.158721236742398	6	2.0	133.46384705425956	141.46384705425956
