object_type	object_ID	team_name	jersey_no	x1	y1	x2	y2	speed	passTo
3	23371	Fenerbahçe	1	92.52	33.34	92.48	33.39	0.108863495174	None
0	23291	Fenerbahçe	2	57.83	43.68	57.09	36.8	0.690636506253	None
0	23375	Fenerbahçe	5	41.37	41.72	40.23	21.97	1.75633178941	None
0	23457	Fenerbahçe	7	12.01	42.62	19.97	46.74	3.76408532536	None
0	23367	Fenerbahçe	9	15.6361035026	29.1218619965	27.16	14.62	4.2551524755	None
0	23385	Fenerbahçe	11	33.48	52.6	31.16	21.17	3.04000330888	23367
0	23480	Fenerbahçe	77	13.26	20.68	7.74	17.02	3.55870703232	None
0	23366	Fenerbahçe	16	9.6	34.09	12.9	35.34	1.69921937233	None
0	23359	Fenerbahçe	22	53.18	21.59	55.92	27.88	1.37502263602	None
0	23369	Fenerbahçe	88	24.9	61.14	49.36	52.46	1.82418518636	None
0	23354	Fenerbahçe	25	36.58	56.95	41.46	42.96	1.40002885438	None
4	23244	Galatasaray	67	3.5	31.69	4.48	26.41	1.44275503047	None
1	23357	Galatasaray	6	17.09	37.55	22.9	25.2	1.57522883262	None
1	23362	Galatasaray	8	35.18	36.67	37.54	26.72	2.14146712689	None
1	23287	Galatasaray	11	36.86	51.8	46.49	38.8	1.6988524669	None
1	23260	Galatasaray	13	12.41	27.57	18.76	11.51	2.88291209926	None
1	23252	Galatasaray	17	22.78	22.95	29.17	8.44	5.02078379887	None
1	23355	Galatasaray	3	28.19	49.07	33.68	36.26	1.27728382544	None
1	23256	Galatasaray	20	28.28	53.82	36.34	51.65	2.08863609918	None
1	23356	Galatasaray	21	19.39	46.52	18.47	43.73	0.421179152138	None
1	23399	Galatasaray	26	9.08	33.51	12.9	30.22	1.61390050912	None
1	23360	Galatasaray	27	19.03	49.77	22.74	47.48	1.69690851166	None
2	23349	referee	90	47.3804464105	52.1340690017	48.38	17.56	1.8152021161	None
