object_type	object_ID	team_name	jersey_no	x1	y1	x2	y2	speed	passTo
3	23371	Fenerbahçe	1	96.99	32.8	103.02	34.28	0.20808652046684803	None
0	23291	Fenerbahçe	2	71.32	34.94	73.98	40.1	0.21023796041629222	None
0	23536	Fenerbahçe	5	65.19	18.7	62.53	31.65	0.08944271909999287	None
0	23519	Fenerbahçe	7	59.95	62.1	52.71	58.55	0.1431782106327643	None
0	23544	Fenerbahçe	9	44.53	28.84	52.43	33.8	0.21023796041628579	None
0	23533	Fenerbahçe	11	53.12	13.71	53.43	17.39	0.010000000000001563	None
0	23549	Fenerbahçe	77	63.07	11.37	52.33	1.69	0.25000000000000194	None
0	23366	Fenerbahçe	16	50.21	21.43	52.31	31.95	0.20808652046684428	None
0	23359	Fenerbahçe	22	69.38	26.92	72.99	26.11	0.3231098884280673	None
0	23369	Fenerbahçe	88	69.88	49.56	63.81	62.94	0.19026297590440958	None
0	23354	Fenerbahçe	25	56.18936936936938	42.43000783392088	63.62	38.78	0.050990195135924676	None
4	23244	Galatasaray	67	12.7	31.25	5.98	33.12	0.014142135623730021	None
1	23357	Galatasaray	6	39.52	22.02	40.19	31.47	0.06403124237432796	None
1	23362	Galatasaray	8	50.53	45.31	44.08	38.08	0.07071067811865475	23360
1	23287	Galatasaray	11	74.47	24.91	52.55	42.75	0.259422435421453	None
1	23537	Galatasaray	13	45.67	9.11	36.54	11.75	0.019999999999999574	None
1	23252	Galatasaray	17	64.7	8.78	51.59	16.58	1.1498260738042076	None
1	23498	Galatasaray	3	47.08	19.63	42.69	25.06	0.22022715545544633	None
1	23256	Galatasaray	20	67.15	43.75	45.96	56.18	0.15556349186103965	None
1	23356	Galatasaray	21	23.28935370152762	46.466882099490796	33.76	36.39	0.04242640687119446	None
1	23469	Galatasaray	26	26.526235801018412	28.20501370936154	33.13	21.71	0.6825156940359374	None
1	23360	Galatasaray	27	43.207473560517045	62.62874657265962	35.98	48.63	0.15000000000000568	None
2	23349	referee	90	57.02	16.1	56.92	42.36	0.08062257748298532	None
