object_type	object_ID	team_name	jersey_no	x1	y1	x2	y2	speed	passTo
3	23371	Fenerbahçe	1	97.01	32.16	101.33	33.84	1.2695861963353197	None
0	23291	Fenerbahçe	2	85.12	33.38	75.56	40.59	1.0495306730626701	None
0	23375	Fenerbahçe	5	65.85	26.07	63.04	31.19	0.4490982040258354	None
0	23340	Fenerbahçe	7	71.19	51.01	50.48	59.67	2.08880132919388	None
0	23367	Fenerbahçe	9	50.88	35.4	46.28	33.36	4.203729939849749	None
0	23385	Fenerbahçe	11	64.48	17.97	53.14	17.4	0.3889170230825576	None
0	23383	Fenerbahçe	77	80.0	22.48	47.11	0.84	3.942345120803692	None
0	23366	Fenerbahçe	16	77.35	30.65	49.88	30.87	2.922330203073545	None
0	23359	Fenerbahçe	22	69.42	21.67	74.34	23.9	1.35402645179642	None
0	23369	Fenerbahçe	88	76.8	46.34	63.57	62.83	0.8887453448232847	None
0	23354	Fenerbahçe	25	68.2	34.15	61.83	39.53	1.7111490960615492	None
4	23244	Galatasaray	67	12.46	31.91	5.43	32.96	0.8174782158733627	None
1	23357	Galatasaray	6	54.32	20.42	42.19	30.94	1.7652384832942536	None
1	23362	Galatasaray	8	58.09	27.37	44.75	36.92	1.541817801015611	None
1	23287	Galatasaray	11	84.73	29.7	54.14	38.04	3.172754446726334	None
1	23260	Galatasaray	13	60.8	18.52	36.49	11.07	1.1895843844066287	23354
1	23252	Galatasaray	17	78.3	22.13	50.67	13.1	2.3563815476082266	None
1	23355	Galatasaray	3	67.98	22.43	45.13	25.94	1.9113099185114466	None
1	23256	Galatasaray	20	78.04	58.02	45.49	55.78	0.7604870639194949	None
1	23356	Galatasaray	21	48.53	42.25	33.52	35.14	1.054921697756169	None
1	23425	Galatasaray	26	48.37	26.77	32.3	27.38	1.468696233033144	None
1	23360	Galatasaray	27	67.9	53.63	35.33	49.5	0.9714454507012399	None
2	23349	referee	90	57.83	24.85	53.79	43.99	2.5084553958295346	None
