object_type	object_ID	team_name	jersey_no	x1	y1	x2	y2	speed	passTo
3	23371	Fenerbahçe	1	95.07	30.99	103.02	34.28	0.20808652046684803	None
0	23291	Fenerbahçe	2	65.38	40.03	73.98	40.1	0.21023796041629222	None
0	23375	Fenerbahçe	5	64.17	22.19	62.53	31.65	0.08944271909999287	None
0	23340	Fenerbahçe	7	38.98	10.89	52.71	58.55	0.1431782106327643	None
0	23367	Fenerbahçe	9	18.34	13.54	52.43	33.8	0.21023796041628579	None
0	23385	Fenerbahçe	11	37.37	5.07	53.43	17.39	0.010000000000001563	None
0	23383	Fenerbahçe	77	39.15	11.15	52.33	1.69	0.25000000000000194	None
0	23366	Fenerbahçe	16	39.8	36.57	52.31	31.95	0.20808652046684428	None
0	23359	Fenerbahçe	22	60.01	11.02	72.99	26.11	0.3231098884280673	23367
0	23369	Fenerbahçe	88	40.97	53.51	63.81	62.94	0.19026297590440958	None
0	23354	Fenerbahçe	25	42.56	22.23	63.62	38.78	0.050990195135924676	None
4	23244	Galatasaray	67	3.66	28.83	5.98	33.12	0.014142135623730021	None
1	23357	Galatasaray	6	32.93	13.3	40.19	31.47	0.06403124237432796	None
1	23362	Galatasaray	8	43.34	32.3	44.08	38.08	0.07071067811865475	None
1	23287	Galatasaray	11	66.35	23.44	52.55	42.75	0.259422435421453	None
1	23396	Galatasaray	13	26.03	6.54	36.54	11.75	0.019999999999999574	None
1	23393	Galatasaray	17	45.67	5.03	51.59	16.58	1.1498260738042076	None
1	23355	Galatasaray	3	48.35	21.13	42.69	25.06	0.22022715545544633	None
1	23256	Galatasaray	20	30.97	47.73	45.96	56.18	0.15556349186103965	None
1	23356	Galatasaray	21	16.37	18.6	33.76	36.39	0.04242640687119446	None
1	23386	Galatasaray	26	18.05	14.84	18.05	14.84	3.92620159751	None
1	23360	Galatasaray	27	30.05	34.99	35.98	48.63	0.15000000000000568	None
2	23349	referee	90	36.96	28.14	56.92	42.36	0.08062257748298532	None
