object_type	object_ID	team_name	jersey_no	x1	y1	x2	y2	speed	passTo
3	23371	Fenerbahçe	1	100.67	34.99	103.02	34.28	0.20808652046684803	None
0	23291	Fenerbahçe	2	86.46744798610271	56.69555043833072	73.98	40.1	0.21023796041629222	None
0	23375	Fenerbahçe	5	82.84	43.22	62.53	31.65	0.08944271909999287	None
0	23340	Fenerbahçe	7	43.76	35.36	52.71	58.55	0.1431782106327643	None
0	23367	Fenerbahçe	9	50.6	28.91	52.43	33.8	0.21023796041628579	None
0	23385	Fenerbahçe	11	45.94	16.28	53.43	17.39	0.010000000000001563	None
0	23383	Fenerbahçe	77	84.74	28.0	52.33	1.69	0.25000000000000194	None
0	23366	Fenerbahçe	16	59.84	43.05	52.31	31.95	0.20808652046684428	None
0	23359	Fenerbahçe	22	87.11	36.67	72.99	26.11	0.3231098884280673	None
0	23445	Fenerbahçe	88	76.57844746091382	55.24541348523412	63.81	62.94	0.19026297590440958	None
0	23354	Fenerbahçe	25	66.41	47.41	63.62	38.78	0.050990195135924676	None
4	23244	Galatasaray	67	13.09	33.34	5.98	33.12	0.014142135623730021	None
1	23357	Galatasaray	6	53.99	34.29	40.19	31.47	0.06403124237432796	None
1	23362	Galatasaray	8	84.14	35.27	44.08	38.08	0.07071067811865475	None
1	23287	Galatasaray	11	75.17575849391993	40.394414010422985	52.55	42.75	0.259422435421453	23256
1	23260	Galatasaray	13	59.86	16.48	36.54	11.75	0.019999999999999574	None
1	23252	Galatasaray	17	84.89	20.31	51.59	16.58	1.1498260738042076	None
1	23355	Galatasaray	3	72.80141033410092	28.87972609380681	42.69	25.06	0.22022715545544633	None
1	23256	Galatasaray	20	84.55930998262838	59.20910192703914	45.96	56.18	0.15556349186103965	None
1	23356	Galatasaray	21	43.08	38.6	33.76	36.39	0.04242640687119446	None
1	23399	Galatasaray	26	44.57	30.7	44.57	30.7	2.882580098935587	None
1	23360	Galatasaray	27	42.73	46.28	35.98	48.63	0.15000000000000568	None
2	23349	referee	90	65.29	35.98	56.92	42.36	0.08062257748298532	None
