object_type	object_ID	team_name	jersey_no	x1	y1	x2	y2	speed	passTo
3	23371	Fenerbahçe	1	92.52	33.34	92.49	33.39	0.00999999999999	None
0	23291	Fenerbahçe	2	57.83	43.68	57.36	37.03	0.50035998229	None
0	23375	Fenerbahçe	5	41.37	41.72	41.39	23.03	1.87599100235	None
0	23457	Fenerbahçe	7	12.01	42.62	22.54	48.27	3.76360291224	None
0	23367	Fenerbahçe	9	24.7194469357	37.7333434331	29.66	13.96	3.34892142725	None
0	23385	Fenerbahçe	11	33.48	52.6	32.97	19.16	3.2456034786	23367
0	23480	Fenerbahçe	77	13.26	20.68	10.31	17.56	3.29308564436	None
0	23366	Fenerbahçe	16	9.6	34.09	14.13	35.0	1.64230935695	None
0	23359	Fenerbahçe	22	53.18	21.59	56.1	29.15	1.77739447142	None
0	23369	Fenerbahçe	88	24.9	61.14	50.64	52.11	1.69108749165	None
0	23354	Fenerbahçe	25	36.58	56.95	41.59	41.81	1.41838265968	None
4	23244	Galatasaray	67	3.5	31.69	4.4	25.98	0.946630253622	None
1	23357	Galatasaray	6	17.09	37.55	23.6	24.38	1.48255403432	None
1	23362	Galatasaray	8	35.18	36.67	39.33	26.39	2.27984200244	None
1	23287	Galatasaray	11	36.86	51.8	47.5	38.08	1.56295469815	None
1	23260	Galatasaray	13	12.41	27.57	20.47	10.63	2.54495419005	None
1	23252	Galatasaray	17	22.78	22.95	32.68	7.41	4.70838114114	None
1	23355	Galatasaray	3	28.19	49.07	34.51	36.27	1.07401184488	None
1	23256	Galatasaray	20	28.28	53.82	38.17	51.96	2.42743251084	None
1	23356	Galatasaray	21	19.39	46.52	18.59	44.19	0.701510618164	None
1	23399	Galatasaray	26	9.08	33.51	13.94	29.56	1.57574558274	None
1	23360	Galatasaray	27	19.03	49.77	24.11	48.44	1.93440149803	None
2	23349	referee	90	47.3804464105	52.1340690017	49.2	17.13	1.24883228752	None
