object_type	object_ID	team_name	jersey_no	x1	y1	x2	y2	speed	passTo
3	23371	Fenerbahçe	1	92.52	33.34	92.53	33.32	0.0907768723046	None
0	23291	Fenerbahçe	2	57.83	43.68	56.6	37.0	0.550266216819	None
0	23375	Fenerbahçe	5	41.37	41.72	38.87	21.93	2.40409753587	None
0	23457	Fenerbahçe	7	12.01	42.62	17.33	45.46	3.91359148794	None
0	23367	Fenerbahçe	9	29.7919633984	30.0655859896	24.65	16.85	4.95633290926	None
0	23385	Fenerbahçe	11	33.48	52.6	30.85	23.32	4.82038858251	23367
0	23480	Fenerbahçe	77	13.26	20.68	4.99	16.29	2.89504037004	None
0	23366	Fenerbahçe	16	9.6	34.09	11.62	35.67	1.81985826333	None
0	23359	Fenerbahçe	22	53.18	21.59	55.57	26.7	0.890736011844	None
0	23369	Fenerbahçe	88	24.9	61.14	48.06	52.94	2.23840492229	None
0	23354	Fenerbahçe	25	36.58	56.95	41.12	43.96	1.56438422806	None
4	23244	Galatasaray	67	3.5	31.69	5.45	27.25	1.08064819585	None
1	23357	Galatasaray	6	17.09	37.55	22.45	26.38	1.36579447038	None
1	23362	Galatasaray	8	35.18	36.67	35.86	26.97	2.10617076492	None
1	23287	Galatasaray	11	36.86	51.8	45.36	39.54	1.72338152803	None
1	23260	Galatasaray	13	12.41	27.57	17.01	12.94	2.95836877413	None
1	23252	Galatasaray	17	22.78	22.95	25.63	10.25	5.31624830147	None
1	23355	Galatasaray	3	28.19	49.07	33.1	37.09	1.45869718208	None
1	23256	Galatasaray	20	28.28	53.82	34.68	50.96	1.34117463479	None
1	23356	Galatasaray	21	19.39	46.52	18.4	43.41	0.431017058587	None
1	23399	Galatasaray	26	9.08	33.51	11.87	30.97	1.63661709323	None
1	23360	Galatasaray	27	19.03	49.77	21.59	46.92	1.6940089901	None
2	23349	referee	90	47.3804464105	52.1340690017	47.65	18.68	2.51959496329	None
