object_type	object_ID	team_name	jersey_no	x1	y1	x2	y2	speed	passTo
3	23371	Fenerbahçe	1	92.22	32.92	103.02	34.28	0.20808652046684803	None
0	23291	Fenerbahçe	2	58.88	43.75	73.98	40.1	0.21023796041629222	None
0	23375	Fenerbahçe	5	38.86	36.1	62.53	31.65	0.08944271909999287	None
0	23423	Fenerbahçe	7	21.28	51.75	52.71	58.55	0.1431782106327643	23366
0	23367	Fenerbahçe	9	13.64	30.71	52.43	33.8	0.21023796041628579	None
0	23385	Fenerbahçe	11	11.91	39.08	53.43	17.39	0.010000000000001563	None
0	23383	Fenerbahçe	77	19.81	16.08	52.33	1.69	0.25000000000000194	None
0	23366	Fenerbahçe	16	9.95	58.72	52.31	31.95	0.20808652046684428	None
0	23359	Fenerbahçe	22	57.67	26.37	72.99	26.11	0.3231098884280673	None
0	23369	Fenerbahçe	88	34.82	62.78	63.81	62.94	0.19026297590440958	None
0	23354	Fenerbahçe	25	40.42	49.54	63.62	38.78	0.050990195135924676	None
4	23244	Galatasaray	67	1.64	37.99	5.98	33.12	0.014142135623730021	None
1	23357	Galatasaray	6	20.21	43.5	40.19	31.47	0.06403124237432796	None
1	23362	Galatasaray	8	22.09	57.7	44.08	38.08	0.07071067811865475	None
1	23287	Galatasaray	11	47.52	38.42	52.55	42.75	0.259422435421453	None
1	23260	Galatasaray	13	16.77	28.92	36.54	11.75	0.019999999999999574	None
1	23252	Galatasaray	17	39.82	19.07	51.59	16.58	1.1498260738042076	None
1	23355	Galatasaray	3	36.31	48.7	42.69	25.06	0.22022715545544633	None
1	23256	Galatasaray	20	29.84	60.54	45.96	56.18	0.15556349186103965	None
1	23356	Galatasaray	21	15.51	46.21	33.76	36.39	0.04242640687119446	None
1	23399	Galatasaray	26	11.26	39.46	11.26	39.46	5.60271839558	None
1	23360	Galatasaray	27	8.2	58.29	35.98	48.63	0.15000000000000568	None
2	23349	referee	90	28.61	50.88	56.92	42.36	0.08062257748298532	None
