object_type	object_ID	team_name	jersey_no	x1	y1	x2	y2	speed	passTo
3	24054	Fenerbahçe	1	5.38	33.8	103.02	34.28	0.20808652046684803	None
0	23291	Fenerbahçe	2	46.7	36.41	73.98	40.1	0.21023796041629222	None
0	23375	Fenerbahçe	5	71.73	45.78	62.53	31.65	0.08944271909999287	None
0	23340	Fenerbahçe	7	76.95	37.39	52.71	58.55	0.1431782106327643	None
0	23367	Fenerbahçe	9	82.76	59.01	52.43	33.8	0.21023796041628579	None
0	23383	Fenerbahçe	77	68.74	57.72	52.33	1.69	0.25000000000000194	None
0	23366	Fenerbahçe	16	72.82	33.03	52.31	31.95	0.20808652046684428	None
0	24053	Fenerbahçe	22	50.34	56.31	72.99	26.11	0.3231098884280673	None
0	23369	Fenerbahçe	88	61.44	26.61	63.81	62.94	0.19026297590440958	None
0	23354	Fenerbahçe	25	70.9	48.92	63.62	38.78	0.050990195135924676	None
4	23244	Galatasaray	67	100.03	35.13	5.98	33.12	0.014142135623730021	None
1	23357	Galatasaray	6	81.65	51.0	40.19	31.47	0.06403124237432796	None
1	24052	Galatasaray	8	62.6	41.38	44.08	38.08	0.07071067811865475	None
1	23287	Galatasaray	11	42.27	43.53	52.55	42.75	0.259422435421453	None
1	23260	Galatasaray	13	70.65	58.59	36.54	11.75	0.019999999999999574	None
1	23252	Galatasaray	17	58.02	66.05	51.59	16.58	1.1498260738042076	None
1	23355	Galatasaray	3	70.02	47.63	42.69	25.06	0.22022715545544633	24052
1	23256	Galatasaray	20	67.0	18.62	45.96	56.18	0.15556349186103965	None
1	23356	Galatasaray	21	82.04	40.75	33.76	36.39	0.04242640687119446	None
1	23425	Galatasaray	26	78.36	55.22	77.69	55.08	3.240317787547661	None
1	23360	Galatasaray	27	80.63	34.01	35.98	48.63	0.15000000000000568	None
2	23349	referee	90	66.58	35.07	56.92	42.36	0.08062257748298532	None
