object_type	object_ID	team_name	jersey_no	x1	y1	x2	y2	speed	passTo
3	23371	Fenerbahçe	1	6.48	35.24	103.02	34.28	0.20808652046684803	None
0	23291	Fenerbahçe	2	33.11	25.26	73.98	40.1	0.21023796041629222	None
0	23375	Fenerbahçe	5	32.97	41.58	62.53	31.65	0.08944271909999287	None
0	23340	Fenerbahçe	7	67.75	31.31	52.71	58.55	0.1431782106327643	None
0	23367	Fenerbahçe	9	71.68	42.13	52.43	33.8	0.21023796041628579	None
0	23383	Fenerbahçe	77	72.21	63.67	52.33	1.69	0.25000000000000194	None
0	23366	Fenerbahçe	16	50.48	40.91	52.31	31.95	0.20808652046684428	None
0	23359	Fenerbahçe	22	36.03	52.54	72.99	26.11	0.3231098884280673	23369
0	23369	Fenerbahçe	88	51.05	7.7	63.81	62.94	0.19026297590440958	None
0	23354	Fenerbahçe	25	49.62	30.36	63.62	38.78	0.050990195135924676	None
4	23244	Galatasaray	67	96.3	36.55	5.98	33.12	0.014142135623730021	None
1	23357	Galatasaray	6	61.56	48.01	40.19	31.47	0.06403124237432796	None
1	23362	Galatasaray	8	44.48	54.59	44.08	38.08	0.07071067811865475	None
1	23287	Galatasaray	11	35.18	46.47	52.55	42.75	0.259422435421453	None
1	23260	Galatasaray	13	72.19	60.54	36.54	11.75	0.019999999999999574	None
1	23252	Galatasaray	17	59.41	59.91	51.59	16.58	1.1498260738042076	None
1	23355	Galatasaray	3	52.5	31.97	42.69	25.06	0.22022715545544633	None
1	23256	Galatasaray	20	56.91	17.44	45.96	56.18	0.15556349186103965	None
1	23356	Galatasaray	21	72.79	41.26	33.76	36.39	0.04242640687119446	None
1	23425	Galatasaray	26	74.59	46.36	74.59	46.36	4.206809843155701	None
1	23360	Galatasaray	27	68.67	29.61	35.98	48.63	0.15000000000000568	None
2	23349	referee	90	58.71	34.11	56.92	42.36	0.08062257748298532	None
